Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Moisturizer,LA MER,Crème de la Mer,175,4.1,"['ALGAE EXTRACT', 'MINERAL OIL', 'PETROLATUM', 'GLYCERIN', 'ISOHEXADECANE', 'MICROCRYSTALLINE WAX', 'LANOLIN ALCOHOL', 'CITRUS AURANTIFOLIA EXTRACT', 'SESAMUM INDICUM SEED OIL', 'EUCALYPTUS GLOBULUS LEAF OIL', 'SESAMUM INDICUM SEED POWDER', 'MEDICAGO SATIVA SEED POWDER', 'HELIANTHUS ANNUUS SEEDCAKE', 'PRUNUS AMYGDALUS DULCIS SEED MEAL', 'SODIUM GLUCONATE', 'COPPER GLUCONATE', 'CALCIUM GLUCONATE', 'MAGNESIUM GLUCONATE', 'ZINC GLUCONATE', 'MAGNESIUM SULFATE', 'PARAFFIN', 'TOCOPHERYL SUCCINATE', 'NIACIN', 'AQUA', 'BETA-CAROTENE', 'DECYL OLEATE', 'ALUMINUM DISTEARATE', 'OCTYLDODECANOL', 'CITRIC ACID', 'CYANOCOBALAMIN', 'MAGNESIUM STEARATE', 'PANTHENOL', 'LIMONENE', 'GERANIOL', 'LINALOOL', 'HYDROXYCITRONELLAL', 'CITRONELLOL', 'BENZYL SALICYLATE', 'CITRAL', 'SODIUM BENZOATE', 'ALCOHOL DENAT.', 'PARFUM']",1,1,1,1,1
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,"['GALACTOMYCES FERMENT FILTRATE', 'BUTYLENE GLYCOL', 'PENTYLENE GLYCOL', 'AQUA', 'SODIUM BENZOATE', 'METHYLPARABEN', 'SORBIC ACID']",1,1,1,1,1
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,"['AQUA', 'DICAPRYLYL CARBONATE', 'GLYCERIN', 'CETEARYL ALCOHOL', 'CETEARYL OLIVATE', 'SORBITAN OLIVATE', 'SCLEROCARYA BIRREA SEED OIL', 'LACTOBACILLUS/CHRYSANTHEMUM SINENSE FLOWER FERMENT FILTRATE', 'NYMPHAEA ALBA ROOT EXTRACT', 'SH-OLIGOPEPTIDE-1', 'SH-OLIGOPEPTIDE-2', 'SH-POLYPEPTIDE-1', 'SH-POLYPEPTIDE-9', 'SH-POLYPEPTIDE-11', 'COPPER PALMITOYL HEPTAPEPTIDE-14', 'HEPTAPEPTIDE-15 PALMITATE', 'PALMITOYL TETRAPEPTIDE-7', 'PALMITOYL TRIPEPTIDE-1', 'ALANINE', 'ARGININE', 'GLYCINE', 'HISTIDINE', 'ISOLEUCINE', 'PHENYLALANINE', 'PROLINE', 'SERINE', 'THREONINE', 'VALINE', 'ACETYL GLUTAMINE', 'COCONUT ALKANES', 'COCO-CAPRYLATE/CAPRATE', 'SODIUM HYALURONATE', 'ASPARTIC ACID', 'LINOLEIC ACID', 'LINOLENIC ACID', 'LECITHIN', 'BUTYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'SODIUM LACTATE', 'SODIUM PCA', 'PCA', 'SORBITAN ISOSTEARATE', 'CARBOMER', 'POLYSORBATE 20', 'POLYSORBATE 60', 'LACTIC ACID', 'HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER', 'XANTHAN GUM', 'ISOMALT', '1,2-HEXANEDIOL', 'CAPRYLYL GLYCOL', 'CHLORPHENESIN', 'PHENOXYETHANOL', 'TOCOPHEROL', 'SODIUM BENZOATE', 'PHENYLPROPANOL', 'GLYCERYL CAPRYLATE', 'SYMPHYTUM OFFICINALE CALLUS CULTURE EXTRACT']",1,1,1,1,0
Moisturizer,LA MER,The Moisturizing Soft Cream,175,3.8,"['ALGAE EXTRACT', 'CYCLOPENTASILOXANE', 'PETROLATUM', 'GLYCERYL DISTEARATE', 'PHENYL TRIMETHICONE', 'BUTYLENE GLYCOL', 'HYDROGENATED VEGETABLE OIL', 'CHOLESTEROL', 'BUTYROSPERMUM PARKII', 'STEARETH-10', 'DIMETHICONE', 'GLYCERYL STEARATE SE', 'POLYSILICONE-11', 'SESAMUM INDICUM SEED OIL', 'MEDICAGO SATIVA SEED POWDER', 'HELIANTHUS ANNUUS SEEDCAKE', 'PRUNUS AMYGDALUS DULCIS SEED MEAL', 'EUCALYPTUS GLOBULUS LEAF OIL', 'SODIUM GLUCONATE', 'COPPER GLUCONATE', 'CALCIUM GLUCONATE', 'MAGNESIUM GLUCONATE', 'ZINC GLUCONATE', 'TOCOPHERYL SUCCINATE', 'NIACIN', 'SESAMUM INDICUM SEED POWDER', 'AQUA', 'CITRUS AURANTIFOLIA PEEL EXTRACT', 'LAMINARIA DIGITATA EXTRACT', 'CRITHMUM MARITIMUM EXTRACT', 'SALICORNIA HERBACEA EXTRACT', 'PLANKTON EXTRACT', 'CHLORELLA VULGARIS EXTRACT', 'GLYCINE SOJA SEED EXTRACT', 'GLYCERIN', 'CAFFEINE', 'MARIS SAL', 'MICROCOCCUS LYSATE', 'DIETHYLHEXYL SUCCINATE', 'ADENOSINE PHOSPHATE', 'CREATINE', 'HYDROLYZED ALGIN', 'ISOCETYL STEAROYL STEARATE', 'CETYL ALCOHOL', 'SUCROSE', 'ACETYL HEXAPEPTIDE-8', 'GLUCOSE OXIDASE', 'POLYACRYLAMIDE', 'ACETYL CARNITINE HCL', 'GLUCOSE', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'C13-14 ISOPARAFFIN', 'TOCOPHERYL ACETATE', 'TETRAHEXYLDECYL ASCORBATE', 'SODIUM PCA', 'GLYCOSAMINOGLYCANS', 'UREA', 'DISTEARYLDIMONIUM CHLORIDE', 'DIPALMITOYL HYDROXYPROLINE', 'SODIUM HYALURONATE', 'LAURETH-7', 'LECITHIN', 'TREHALOSE', 'POLYQUATERNIUM-51', 'LACTOPEROXIDASE', 'HYDROXYPROPYL CYCLODEXTRIN', 'CYANOCOBALAMIN', 'PENTYLENE GLYCOL', 'PARFUM', 'DISODIUM EDTA', 'BHT', 'CITRONELLOL', 'HYDROXYCITRONELLAL', 'GERANIOL', 'LINALOOL', 'LIMONENE', 'POTASSIUM SORBATE', 'PHENOXYETHANOL']",1,1,1,1,1
Moisturizer,IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,38,4.1,"['AQUA', 'SNAIL SECRETION FILTRATE', 'PHENYL TRIMETHICONE', 'DIMETHICONE', 'BUTYLENE GLYCOL', 'BUTYLENE GLYCOL DICAPRYLATE', 'ORBIGNYA OLEIFERA SEED OIL', 'BUTYLOCTYL SALICYLATE', 'CETYL PEG/PPG-10/1 DIMETHICONE', 'CYCLOPENTASILOXANE', 'CYCLOHEXASILOXANE', 'MAGNESIUM SULFATE', 'POLYGLYCERYL-4 ISOSTEARATE', 'DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER', 'ALUMINUM HYDROXIDE', 'HEXYL LAURATE', 'STEARIC ACID', 'CALCIUM STEARATE', 'CAPRYLYL GLYCOL', 'TRIETHOXYCAPRYLYLSILANE', 'ETHYLHEXYLGLYCERIN', 'CITRUS MEDICA LIMONUM PEEL OIL', 'TOCOPHERYL ACETATE', 'SORBITAN ISOSTEARATE', 'PHENOXYETHANOL', 'CITRUS AURANTIUM BERGAMIA FRUIT OIL', '1,2-HEXANEDIOL', 'DISODIUM EDTA', 'CITRUS AURANTIUM DULCIS PEEL OIL', 'CITRUS AURANTIFOLIA OIL', 'VITIS VINIFERA SEED OIL', 'PUNICA GRANATUM SEED OIL', 'PINUS SYLVESTRIS LEAF OIL', 'PERSEA GRATISSIMA OIL', 'NIACINAMIDE', 'CITRUS GRANDIS PEEL OIL', 'CHOLESTEROL', 'ANTHEMIS NOBILIS FLOWER WATER', 'LACTOBACILLUS/CHRYSANTHEMUM SINENSE FLOWER FERMENT FILTRATE', 'PERFLUOROHEXANE', 'OLEA EUROPAEA LEAF EXTRACT', 'GLYCERIN', 'EUCALYPTUS GLOBULUS LEAF OIL', 'CAMELLIA SINENSIS LEAF EXTRACT', 'CHRYSANTHEMUM INDICUM FLOWER EXTRACT', 'PUERARIA LOBATA ROOT EXTRACT', 'PERFLUORODECALIN', 'MORUS ALBA FRUIT EXTRACT', 'MAGNOLIA KOBUS BARK EXTRACT', 'GLYCINE SOJA SPROUT EXTRACT', 'DIOSPYROS KAKI LEAF EXTRACT', 'CINNAMOMUM CASSIA BARK EXTRACT', 'ARTEMISIA PRINCEPS LEAF EXTRACT', 'PENTAFLUOROPROPANE', 'CURCUMA LONGA ROOT EXTRACT', 'STEARETH-20', 'HYDROLYZED HYALURONIC ACID', 'COLLOIDAL OATMEAL', 'HYDROLYZED SILK', 'CITRIC ACID', 'SODIUM BENZOATE', 'POTASSIUM SORBATE', 'ALOE BARBADENSIS LEAF EXTRACT', 'N-HYDROXYSUCCINIMIDE', 'HYDROLYZED COLLAGEN', 'CAPRYLHYDROXAMIC ACID', 'TOCOPHEROL', 'THIAMINE HCL', 'RIBOFLAVIN', 'RETINYL PALMITATE', 'PANTOTHENIC ACID', 'PALMITOYL OLIGOPEPTIDE', 'NIACIN', 'FOLIC ACID', 'CHRYSIN', 'CARNITINE HCL', 'BIOTIN', 'ASCORBIC ACID', 'PALMITOYL TETRAPEPTIDE-7', 'CHLORHEXIDINE DIGLUCONATE']",1,1,1,1,1
Moisturizer,TATCHA,The Water Cream,68,4.2,"['AQUA', 'SACCHAROMYCES/CAMELLIA SINENSIS LEAF/CLADOSIPHON OKAMURANUS/RICE FERMENT FILTRATE', 'DIMETHICONE', 'PROPANEDIOL', 'GLYCERIN', 'DIGLYCERIN', 'DIPHENYLSILOXY PHENYL TRIMETHICONE', 'GOLD', 'BELAMCANDA CHINENSIS ROOT EXTRACT', 'ROSA MULTIFLORA FRUIT EXTRACT', 'HOUTTUYNIA CORDATA EXTRACT', 'SOPHORA ANGUSTIFOLIA ROOT EXTRACT', 'SODIUM HYALURONATE', 'LECITHIN', 'PISTACIA LENTISCUS GUM', 'SODIUM CHLORIDE', 'SODIUM CITRATE', 'MICA', 'PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE', 'DIMETHICONE/PEG-10/15 CROSSPOLYMER', 'DIMETHICONE', 'DISODIUM EDTA', 'TIN OXIDE', 'TITANIUM DIOXIDE', 'BUTYLENE GLYCOL', 'ETHYLHEXYLGLYCERIN', 'PARFUM', 'ALCOHOL', 'PHENOXYETHANOL. HADASEI']",1,0,1,1,1
Moisturizer,DRUNK ELEPHANT,Lala Retro™ Whipped Cream,60,4.2,"['AQUA', 'GLYCERIN', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'ISOPROPYL ISOSTEARATE', 'CAMELLIA SINENSIS SEED OIL', 'STEARIC ACID', 'GLYCERYL STEARATE SE', 'CETEARYL ALCOHOL', 'PENTYLENE GLYCOL', 'PLANTAGO LANCEOLATA LEAF EXTRACT', 'ADANSONIA DIGITATA SEED OIL', 'CITRULLUS LANATUS SEED OIL', 'PASSIFLORA EDULIS SEED OIL', 'SCHINZIOPHYTON RAUTANENII KERNEL OIL', 'SCLEROCARYA BIRREA SEED OIL', 'POLYGLYCERYL-6 XIMENIA AMERICANA SEEDATE', 'SODIUM HYALURONATE CROSSPOLYMER-3', 'CETEARETH-20', 'TRISODIUM ETHYLENEDIAMINE DISUCCINATE', 'SODIUM HYDROXIDE', 'CITRIC ACID', 'CARBOMER', 'XANTHAN GUM', 'CAPRYLYL GLYCOL', 'CHLORPHENESIN', 'PHENOXYETHANOL', 'ETHYLHEXYLGLYCERIN']",1,1,1,1,0
Moisturizer,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil,72,4.4,['UNREFINED SCLEROCRAYA BIRREA KERNEL OIL'],1,1,1,1,0
Moisturizer,KIEHL'S SINCE 1851,Ultra Facial Cream,29,4.4,"['AQUA', 'GLYCERIN', 'CYCLOHEXASILOXANE', 'SQUALANE', 'BIS-PEG-18 METHYL ETHER DIMETHYL SILANE', 'SUCROSE STEARATE', 'STEARYL ALCOHOL', 'PEG-8 STEARATE', 'UREA', 'MYRISTYL MYRISTATE', 'PENTAERYTHRITYL TETRAETHYLHEXANOATE', 'PRUNUS ARMENIACA KERNEL OIL', 'PHENOXYETHANOL', 'PERSEA GRATISSIMA OIL', 'OLEA EUROPAEA OIL', 'ORYZA SATIVA BRAN OIL', 'CETYL ALCOHOL', 'GLYCERYL STEARATE', 'IMPERATA CYLINDRICA ROOT EXTRACT', 'STEARIC ACID', 'METHYLPARABEN', 'CHLORPHENESIN', 'PALMITIC ACID', 'DISODIUM EDTA', 'ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER', 'PROPYLPARABEN', 'CARBOMER', 'TRIETHANOLAMINE', 'PRUNUS AMYGDALUS DULCIS OIL', 'XANTHAN GUM', 'SODIUM HYDROXIDE', 'TOCOPHEROL', 'PSEUDOALTEROMONAS FERMENT EXTRACT', 'HYDROXYPALMITOYL SPHINGANINE', 'CAPRYLYL GLYCOL']",1,1,1,1,1
Moisturizer,LA MER,Little Miss Miracle Limited-Edition Crème de la Mer,325,5.0,"['ALGAE EXTRACT', 'MINERAL OIL', 'PETROLATUM', 'GLYCERIN', 'ISOHEXADECANE', 'MICROCRYSTALLINE WAX', 'LANOLIN ALCOHOL', 'CITRUS AURANTIFOLIA EXTRACT', 'SESAMUM INDICUM SEED OIL', 'EUCALYPTUS GLOBULUS LEAF OIL', 'SESAMUM INDICUM SEED POWDER', 'MEDICAGO SATIVA SEED POWDER', 'HELIANTHUS ANNUUS SEEDCAKE', 'PRUNUS AMYGDALUS DULCIS SEED MEAL', 'SODIUM GLUCONATE', 'COPPER GLUCONATE', 'CALCIUM GLUCONATE', 'MAGNESIUM GLUCONATE', 'ZINC GLUCONATE', 'MAGNESIUM SULFATE', 'PARAFFIN', 'TOCOPHERYL SUCCINATE', 'NIACIN', 'AQUA', 'BETA-CAROTENE', 'DECYL OLEATE', 'ALUMINUM DISTEARATE', 'OCTYLDODECANOL', 'CITRIC ACID', 'CYANOCOBALAMIN', 'MAGNESIUM STEARATE', 'PANTHENOL', 'LIMONENE', 'GERANIOL', 'LINALOOL', 'HYDROXYCITRONELLAL', 'CITRONELLOL', 'BENZYL SALICYLATE', 'CITRAL', 'SODIUM BENZOATE', 'ALCOHOL DENAT.', 'PARFUM']",0,0,0,0,0
