INCI name,EINECS/ELINCS number,Classification,Penalty,Functions,Other language,Other languages,Origin(s),Food additive,Chemical name
"1,2,4-TRIHYDROXYBENZENE",208-575-1,"Regulated, Hair dye, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1,2-DIMETHOXY-4-(2-PROPENYL)-BENZENE",202-223-0,Regulated,"""Low penalty"" in all categories.",[],Méthyleugénol,,,,
"1,2-HEXANEDIOL",230-029-6,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Solvent : Dissolves other substances']",,"1,2-Heksandiol, 1,2-Hexaandiol, 1,2-Hexandiol, 1,2-Hexanodiol, 1,2-Hexándiol, 1,2-esandiolo, 1,2-heksandiol, 1,2-heksanodiol, 1,2-hexandiol, 1,2-hexándiol, 1,2-хександиол, 1,2-הקסנדיול, 1,2-ヘキサンジオール, 1,2-헥산디올, 1،2-هيكسانديول",,,
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",279-845-4,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",278-022-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1,4-BENZENEDICARBOXYLIC ACID,1,4-DIMETHYL ESTER,POLYMER:1",,Synthetic polymer,"""Medium penalty"" in all categories.",[],,,Synthetic,,
"1,5-NAPHTHALENEDIOL",201-487-4,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",429-300-3,"Sulphate, Regulated, Hair dye","""Medium penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
1-NAPHTHOL,201-969-4,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],Naphtol et ses sels,,,,
"2,2'-METHYLENEBIS 4-AMINOPHENOL",440-850-3,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",-,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",469-500-8,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,4-DIAMINOPHENOXYETHANOL HCL",266-357-1,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,4-DIAMINOPHENOXYETHANOL SULFATE",274-713-2,"Sulphate, Regulated, Hair dye","""Medium penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",216-500-9,"Sulphate, Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",421-430-9,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIAMINOPYRIDINE",205-507-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",283-141-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIHYDROXYETHYLAMINOTOLUENE",443-210-1,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",260-062-1,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,7-NAPHTHALENEDIOL",209-478-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-AMINO-3-HYDROXYPYRIDINE,240-886-8,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,280-733-2,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,280-734-8,"Sulphate, Regulated, Hair dye","""Medium penalty"" in all categories.",[''],,,,,
2-AMINO-5-ETHYLPHENOL HCL,-,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-AMINO-6-CHLORO-4-NITROPHENOL,228-762-1,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
"2-BROMO-2-NITROPROPANE-1,3-DIOL",200-143-0,"Regulated, Formaldehyde liberator, Preservative","""Strong penalty"" in all categories.",['Preservative : Inhibits the development of microorganisms in cosmetic products.'],Bronopol,,Synthetic,,
2-CHLORO-P-PHENYLENEDIAMINE,210-441-2,"PPD, Hair dye, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,Synthetic,,
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,228-291-1,"Sulphate, PPD, Hair dye, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-ETHYLHEXYLAL,,,"""No penalty"" in all categories.",['Solvent : Dissolves other substances'],,,,,
2-HYDROXYETHYL PICRAMIC ACID,412-520-9,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-HYDROXYETHYLAMINO-5-NITROANISOLE,266-138-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,679-526-3,"PPD, Regulated, Hair dye","""Medium penalty"" in all categories.",[''],,,,,
2-METHYL-1-NAPHTHOL,231-265-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-METHYL-5-HYDROXYETHYLAMINOPHENOL,259-583-7,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-METHYLRESORCINOL,210-155-8,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,Synthetic,,
2-NAPHTHOL,205-182-7,"Regulated, Forbidden in Europe","""Strong penalty"" in all categories.","['Hair dyeing : Colors the hair', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
2-NITRO-5-GLYCERYL METHYLANILINE,279-383-3,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"3-AMINO-2,4-DICHLOROPHENOL",262-909-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"3-AMINO-2,4-DICHLOROPHENOL HCL",-,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
3-BENZYLIDENE CAMPHOR,239-139-9,"UV chemical filter, Regulated, Forbidden in Europe","""Strong penalty"" in all categories.",['Uv absorber : Protects the cosmetic product from UV-light effects'],,,Synthetic,,
3-CARENE,236-719-3,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
3-METHYLAMINO-4-NITROPHENOXYETHANOL,261-940-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
3-NITRO-P-HYDROXYETHYLAMINOPHENOL,265-648-0,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",-,"Suspected endocrine disruptor, Synthetic polymer","""Strong penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails']",,,,,
4-AMINO-2-HYDROXYTOLUENE,220-618-6,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID,411-260-3,"Regulated, Hair dye","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-AMINO-3-NITROPHENOL,210-236-8,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
4-AMINO-M-CRESOL,220-621-2,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
4-CHLORORESORCINOL,202-462-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-HYDROXYBENZOIC ACID,202-804-9,"Regulated, Preservative","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Preservative : Inhibits the development of microorganisms in cosmetic products.']",,,,,
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,406-305-9,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-METHYLBENZYLIDENE CAMPHOR,253-242-6 /,"Suspected endocrine disruptor, UV chemical filter, Regulated","""Strong penalty"" in all categories.","['Stabilising : Improves ingredients or stability of the formula and shelf life', 'Uv absorber : Protects the cosmetic product from UV-light effects', 'Uv filter : Filters certain UV rays to protect the skin or hair from the harmful effects of these rays.']",,,Synthetic,,
4-NITRO-O-PHENYLENEDIAMINE,202-766-3,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-PCA DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,,Synthetic polymer,"""Medium penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,,,,
4-TERT-BUTYLDIHYDROCINNAMALDEHYDE,242-016-2,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
5-AMINO-6-CHLORO-O-CRESOL,283-144-9,"Regulated, Hair dye","""Low penalty"" in all categories.","['Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Hair dyeing : Colors the hair']",,,,,
"5-BROMO-5-NITRO-1,3-DIOXANE",250-001-7,"Regulated, Formaldehyde liberator, Preservative","""Strong penalty"" in all categories.",['Preservative : Inhibits the development of microorganisms in cosmetic products.'],,,,,
6-AMINO-M-CRESOL,220-620-7,"Regulated, Hair dye","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
