Species_1,Kingdom_1,Interaction_type,Species_2,Kingdom_2
Araneus quadratus,Animal,eats,Aphis fabae,Animal
Stenocranus major,Animal,eatenBy,Araneus quadratus,Animal
Aphidini,Animal,eatenBy,Metellina segmentata,Animal
Tetragnatha extensa,Animal,eats,Trichoptera,Animal
Araneus quadratus,Animal,eats,Heteroptera,Animal
Araneus quadratus,Animal,eats,Dysaphis,Animal
Metellina segmentata,Animal,eats,Formicidae,Animal
Tetragnatha extensa,Animal,eats,Chrysopidae,Animal
Araneae,Animal,eatenBy,Argiope bruennichi,Animal
Lepidoptera,Animal,eatenBy,Argiope bruennichi,Animal
Heteroptera,Animal,eatenBy,Araneus diadematus,Animal
Hymenoptera,Animal,eatenBy,Tetragnatha extensa,Animal
Cicadoidea,Animal,eatenBy,Larinioides cornutus,Animal
Araneus diadematus,Animal,eats,Apidae,Animal
Tetragnatha extensa,Animal,eats,Ephemeroptera,Animal
Hymenoptera,Animal,eatenBy,Argiope bruennichi,Animal
Heteroptera,Animal,eatenBy,Argiope bruennichi,Animal
Araneus quadratus,Animal,eats,Sitobion avenae,Animal
Larinioides cornutus,Animal,eats,Diptera,Animal
Lepyronia coleoptrata,Animal,eatenBy,Araneus diadematus,Animal
Araneus quadratus,Animal,eats,Myzus persicae,Animal
Anoecia corni,Animal,eatenBy,Metellina segmentata,Animal
Apidae,Animal,eatenBy,Larinioides cornutus,Animal
Aphis fabae,Animal,eatenBy,Araneus diadematus,Animal
Araneus quadratus,Animal,eats,Araneae,Animal
Argiope bruennichi,Animal,eats,Dicranotropis hamata,Animal
Thysanoptera,Animal,eatenBy,Larinioides cornutus,Animal
Metellina segmentata,Animal,eats,Thysanoptera,Animal
Araneus diadematus,Animal,eats,Empoasca,Animal
Hyalopterus pruni,Animal,eatenBy,Argiope bruennichi,Animal
Formicidae,Animal,eatenBy,Argiope bruennichi,Animal
Trichoptera,Animal,eatenBy,Metellina segmentata,Animal
Trichoptera,Animal,eatenBy,Tetragnatha extensa,Animal
Tetragnatha extensa,Animal,eats,Coleoptera,Animal
Aphis fabae,Animal,eatenBy,Metellina segmentata,Animal
Araneus quadratus,Animal,eats,Hymenoptera,Animal
Argiope bruennichi,Animal,eats,Formicidae,Animal
Chrysopidae,Animal,eatenBy,Araneus quadratus,Animal
Argiope bruennichi,Animal,eats,Kelisia punctulum,Animal
Coleoptera,Animal,eatenBy,Tetragnatha extensa,Animal
Argiope bruennichi,Animal,eats,Lepidoptera,Animal
Araneus diadematus,Animal,eats,Aphidini,Animal
Araneae,Animal,eatenBy,Larinioides cornutus,Animal
Apidae,Animal,eatenBy,Argiope bruennichi,Animal
Metellina segmentata,Animal,eats,Ephemeroptera,Animal
Diptera,Animal,eatenBy,Argiope bruennichi,Animal
Stenocranus major,Animal,eatenBy,Araneus diadematus,Animal
Larinioides cornutus,Animal,eats,Hemiptera,Animal
Anoecia corni,Animal,eatenBy,Araneus diadematus,Animal
Larinioides cornutus,Animal,eats,Thysanoptera,Animal
Ephemeroptera,Animal,eatenBy,Larinioides cornutus,Animal
Araneus quadratus,Animal,eats,Diptera,Animal
Rhopalosiphum padi,Animal,eatenBy,Araneus quadratus,Animal
Formicidae,Animal,eatenBy,Metellina segmentata,Animal
Diptera,Animal,eatenBy,Metellina segmentata,Animal
Araneus quadratus,Animal,eats,Thysanoptera,Animal
Chrysopidae,Animal,eatenBy,Tetragnatha extensa,Animal
Argiope bruennichi,Animal,eats,Panorpidae,Animal
Metellina segmentata,Animal,eats,Dysaphis,Animal
Larinioides cornutus,Animal,eats,Ephemeroptera,Animal
Argiope bruennichi,Animal,eats,Cicadula quadrinotata,Animal
Araneus diadematus,Animal,eats,Aphis,Animal
Cicadoidea,Animal,eatenBy,Metellina segmentata,Animal
Sitobion avenae,Animal,eatenBy,Araneus quadratus,Animal
Tetragnatha extensa,Animal,eats,Cicadoidea,Animal
Lepidoptera,Animal,eatenBy,Araneus diadematus,Animal
Larinioides cornutus,Animal,eats,Aphidini,Animal
Araneus diadematus,Animal,eats,Formicidae,Animal
Empoasca,Animal,eatenBy,Araneus diadematus,Animal
Formicidae,Animal,eatenBy,Araneus quadratus,Animal
Evacanthus interruptus,Animal,eatenBy,Metellina segmentata,Animal
Diptera,Animal,eatenBy,Tetragnatha extensa,Animal
Erzaleus metrius,Animal,eatenBy,Argiope bruennichi,Animal
Dysaphis,Animal,eatenBy,Metellina segmentata,Animal
Metellina segmentata,Animal,eats,Cicadoidea,Animal
Argiope bruennichi,Animal,eats,Heteroptera,Animal
Metellina segmentata,Animal,eats,Diptera,Animal
