Species_1,Kingdom_1,Species_2,Kingdom_2
Araneus quadratus,Animal,Aphis fabae,Animal
Araneus quadratus,Animal,Stenocranus major,Animal
Metellina segmentata,Animal,Aphidini,Animal
Tetragnatha extensa,Animal,Trichoptera,Animal
Araneus quadratus,Animal,Heteroptera,Animal
Araneus quadratus,Animal,Dysaphis,Animal
Metellina segmentata,Animal,Formicidae,Animal
Tetragnatha extensa,Animal,Chrysopidae,Animal
Argiope bruennichi,Animal,Araneae,Animal
Argiope bruennichi,Animal,Lepidoptera,Animal
Araneus diadematus,Animal,Heteroptera,Animal
Tetragnatha extensa,Animal,Hymenoptera,Animal
Larinioides cornutus,Animal,Cicadoidea,Animal
Araneus diadematus,Animal,Apidae,Animal
Tetragnatha extensa,Animal,Ephemeroptera,Animal
Argiope bruennichi,Animal,Hymenoptera,Animal
Argiope bruennichi,Animal,Heteroptera,Animal
Araneus quadratus,Animal,Sitobion avenae,Animal
Larinioides cornutus,Animal,Diptera,Animal
Araneus diadematus,Animal,Lepyronia coleoptrata,Animal
Araneus quadratus,Animal,Myzus persicae,Animal
Metellina segmentata,Animal,Anoecia corni,Animal
Larinioides cornutus,Animal,Apidae,Animal
Araneus diadematus,Animal,Aphis fabae,Animal
Araneus quadratus,Animal,Araneae,Animal
Argiope bruennichi,Animal,Dicranotropis hamata,Animal
Larinioides cornutus,Animal,Thysanoptera,Animal
Metellina segmentata,Animal,Thysanoptera,Animal
Araneus diadematus,Animal,Empoasca,Animal
Argiope bruennichi,Animal,Hyalopterus pruni,Animal
Argiope bruennichi,Animal,Formicidae,Animal
Metellina segmentata,Animal,Trichoptera,Animal
Tetragnatha extensa,Animal,Coleoptera,Animal
Metellina segmentata,Animal,Aphis fabae,Animal
Araneus quadratus,Animal,Hymenoptera,Animal
Araneus quadratus,Animal,Chrysopidae,Animal
Argiope bruennichi,Animal,Kelisia punctulum,Animal
Araneus diadematus,Animal,Aphidini,Animal
Larinioides cornutus,Animal,Araneae,Animal
Argiope bruennichi,Animal,Apidae,Animal
Metellina segmentata,Animal,Ephemeroptera,Animal
Argiope bruennichi,Animal,Diptera,Animal
Araneus diadematus,Animal,Stenocranus major,Animal
Larinioides cornutus,Animal,Hemiptera,Animal
Araneus diadematus,Animal,Anoecia corni,Animal
Larinioides cornutus,Animal,Ephemeroptera,Animal
Araneus quadratus,Animal,Diptera,Animal
Araneus quadratus,Animal,Rhopalosiphum padi,Animal
Metellina segmentata,Animal,Diptera,Animal
Araneus quadratus,Animal,Thysanoptera,Animal
Argiope bruennichi,Animal,Panorpidae,Animal
Metellina segmentata,Animal,Dysaphis,Animal
Argiope bruennichi,Animal,Cicadula quadrinotata,Animal
Araneus diadematus,Animal,Aphis,Animal
Metellina segmentata,Animal,Cicadoidea,Animal
Tetragnatha extensa,Animal,Cicadoidea,Animal
Araneus diadematus,Animal,Lepidoptera,Animal
Larinioides cornutus,Animal,Aphidini,Animal
Araneus diadematus,Animal,Formicidae,Animal
Araneus quadratus,Animal,Formicidae,Animal
Metellina segmentata,Animal,Evacanthus interruptus,Animal
Tetragnatha extensa,Animal,Diptera,Animal
Argiope bruennichi,Animal,Erzaleus metrius,Animal
Araneus quadratus,Animal,Kelisia punctulum,Animal
Araneus quadratus,Animal,Ephemeroptera,Animal
Metellina segmentata,Animal,Hymenoptera,Animal
Argiope bruennichi,Animal,Lepyronia coleoptrata,Animal
Araneus diadematus,Animal,Rhopalosiphum padi,Animal
Araneus diadematus,Animal,Coleoptera,Animal
Araneus diadematus,Animal,Kelisia punctulum,Animal
Metellina segmentata,Animal,Stenocranus major,Animal
Argiope bruennichi,Animal,Thysanoptera,Animal
Araneus quadratus,Animal,Aphidini,Animal
Larinioides cornutus,Animal,Coleoptera,Animal
